timestep,western_temp,eastern_temp,dmi,phase
3360,28.060833,26.174921,1.885912,Positive
3384,27.944614,26.202093,1.7425213,Positive
3408,27.866241,26.206085,1.6601562,Positive
3432,27.806776,26.240631,1.566145,Positive
3456,27.738026,26.174831,1.5631943,Positive
3480,27.661673,26.16897,1.4927025,Positive
3504,27.607414,26.249416,1.3579979,Positive
3528,27.58601,26.225956,1.360054,Positive
3552,27.556433,26.223845,1.3325882,Positive
3576,27.546986,26.326561,1.2204247,Positive
3600,27.573664,26.371567,1.2020969,Positive
3624,27.58986,26.361284,1.2285767,Positive
3648,27.53098,26.274788,1.2561913,Positive
3672,27.486969,26.153578,1.3333912,Positive
3696,27.477032,26.059206,1.4178257,Positive
3720,27.427973,26.02866,1.399313,Positive
3744,27.38405,26.02762,1.35643,Positive
3768,27.35432,26.0347,1.3196201,Positive
3792,27.309483,26.018524,1.2909584,Positive
3816,27.273003,25.949068,1.3239346,Positive
3840,27.226444,25.874304,1.3521404,Positive
3864,27.192987,25.835863,1.3571243,Positive
3888,27.146446,25.845587,1.3008595,Positive
3912,27.094538,25.828712,1.2658253,Positive
3936,27.056849,25.836946,1.219902,Positive
3960,27.039694,25.847065,1.1926289,Positive
3984,27.049292,25.826223,1.2230682,Positive
4008,27.074411,25.813997,1.2604141,Positive
4032,27.107115,25.761986,1.345129,Positive
4056,27.053778,25.745821,1.3079567,Positive
4080,27.010965,25.745697,1.2652683,Positive
4104,26.971567,25.75827,1.2132969,Positive
4128,27.0615,25.751879,1.3096218,Positive
4152,26.908585,25.791584,1.1170006,Positive
4176,26.888485,25.792152,1.0963326,Positive
4200,26.878853,25.812769,1.0660839,Positive
4224,26.861706,25.803814,1.0578918,Positive
4248,26.83693,25.799355,1.0375748,Positive
4272,26.822927,25.732662,1.0902653,Positive
4296,26.833893,25.743748,1.0901451,Positive
4320,26.820925,25.8002,1.0207253,Positive
4344,26.807358,25.869614,0.93774414,Positive
4368,26.853407,25.807217,1.0461903,Positive
4392,26.856379,25.672785,1.1835938,Positive
4416,26.791769,25.601625,1.1901436,Positive
4440,26.749212,25.57339,1.1758232,Positive
4464,26.730719,25.556423,1.1742954,Positive
4488,26.722418,25.609564,1.112854,Positive
4512,26.721144,25.639576,1.0815678,Positive
4536,26.736473,25.597868,1.1386051,Positive
4560,26.76716,25.58963,1.1775303,Positive
4584,26.74093,25.590668,1.1502628,Positive
4608,26.738758,25.557991,1.180767,Positive
4632,26.718975,25.528437,1.1905384,Positive
4656,26.711653,25.477716,1.2339363,Positive
